@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
18,'2021/06/23 01:28:34:076',1,0,0,0.005843,0.028041,0.009134,0.001814,0.007896,0.009654,0.008336,0.005041,0.007156,0.011496,0.014828,0.010845,0.008892,0.0096,0.011734,0.017875,0.011854,0.014379,0.010531,0.010115,0.008234,0.011096,0.009624,0,1,0.32,0,0
19,'2021/06/23 01:28:34:112',1,0,0,0.007931,0.02594,0.012651,0.005368,0.003737,0.006765,0.004569,0.004372,0.006971,0.008141,0.013569,0.014083,0.009917,0.006737,0.013058,0.011181,0.018811,0.010696,0.008343,0.009841,0.012629,0.014638,0.012901,0,1,0.32,0,0
20,'2021/06/23 01:28:34:143',1,0,0,0.003902,0.027905,0.018788,0.004072,0.005639,0.008193,0.005431,0.005043,0.007444,0.018146,0.01815,0.022018,0.014597,0.012275,0.019817,0.012814,0.016783,0.010351,0.012886,0.011926,0.011589,0.0123,0.010033,0,1,0.32,0,0
21,'2021/06/23 01:28:34:177',1,0,0,0.006873,0.029624,0.010705,0.008189,0.005276,0.006052,0.006922,0.006288,0.008084,0.007035,0.020015,0.015824,0.013875,0.006743,0.009647,0.013529,0.011959,0.01321,0.013932,0.013216,0.011377,0.011116,0.009208,0,1,0.32,0,0
22,'2021/06/23 01:28:34:210',1,0,0,0.00764,0.030429,0.013973,0.004616,0.005755,0.009988,0.006965,0.004538,0.007377,0.005908,0.012286,0.018658,0.013897,0.010683,0.014193,0.019702,0.013033,0.010394,0.012596,0.0131,0.012598,0.011917,0.009646,0,1,0.32,0,0
23,'2021/06/23 01:28:34:242',1,0,0,0.003827,0.029889,0.013997,0.002337,0.006339,0.01328,0.004054,0.003759,0.007622,0.012947,0.017022,0.025666,0.013362,0.006383,0.010647,0.011851,0.01319,0.010766,0.011466,0.009032,0.011462,0.007903,0.01092,0,1,0.32,0,0
24,'2021/06/23 01:28:34:281',1,0,0,0.004494,0.028595,0.011709,0.004292,0.003053,0.015093,0.006814,0.005852,0.009321,0.009485,0.018727,0.023433,0.013387,0.007917,0.008985,0.015885,0.011418,0.011184,0.013602,0.010986,0.012816,0.00872,0.010277,0,1,0.32,0,0
25,'2021/06/23 01:28:34:313',1,0,0,0.00311,0.023157,0.010443,0.001,0.011395,0.010185,0.010759,0.004454,0.011021,0.009926,0.011697,0.015564,0.006576,0.012682,0.013019,0.013224,0.010514,0.014502,0.011513,0.00978,0.011546,0.011033,0.01019,0,1,0.32,0,0
26,'2021/06/23 01:28:34:346',1,0,0,0.00566,0.023184,0.005563,0.001332,0.004613,0.011286,0.01156,0.007077,0.005117,0.011893,0.019719,0.016187,0.008211,0.010017,0.009363,0.01537,0.00909,0.011726,0.012633,0.010984,0.012446,0.011929,0.007059,0,1,0.32,0,0
27,'2021/06/23 01:28:34:381',1,0,0,0.00566,0.023184,0.005563,0.001332,0.004613,0.011286,0.01156,0.007077,0.005117,0.011893,0.019719,0.016187,0.008211,0.010017,0.009363,0.01537,0.00909,0.011726,0.012633,0.010984,0.012446,0.011929,0.007059,0,1,0.32,0,0
28,'2021/06/23 01:28:34:407',1,0,0,0.00453,0.024515,0.014987,0.003837,0.0116,0.010291,0.007737,0.006011,0.006323,0.009537,0.013073,0.022061,0.014218,0.009338,0.011623,0.016314,0.011145,0.007698,0.011823,0.009086,0.011263,0.013048,0.01156,0,1,0.32,0,0
29,'2021/06/23 01:28:34:441',1,0,0,0.007545,0.028157,0.008289,0.006278,0.006152,0.00549,0.008421,0.004978,0.005011,0.010109,0.009693,0.012433,0.010027,0.011988,0.011499,0.014358,0.012799,0.009206,0.011872,0.009745,0.009758,0.009584,0.011799,0,1,0.32,0,0
30,'2021/06/23 01:28:34:481',1,0,0,0.003884,0.022089,0.015791,0.008423,0.006123,0.0068,0.011322,0.004046,0.004391,0.010133,0.009794,0.017744,0.012099,0.009931,0.010883,0.010528,0.009012,0.008914,0.012258,0.010882,0.009422,0.010747,0.010174,0,1,0.32,0,0
31,'2021/06/23 01:28:34:517',1,0,0,0.003884,0.022089,0.015791,0.008423,0.006123,0.0068,0.011322,0.004046,0.004391,0.010133,0.009794,0.017744,0.012099,0.009931,0.010883,0.010528,0.009012,0.008914,0.012258,0.010882,0.009422,0.010747,0.010174,0,1,0.32,0,0
32,'2021/06/23 01:28:34:549',1,0,0,0.005594,0.027634,0.008895,0.004013,0.006199,0.013078,0.01462,0.002741,0.0071,0.004792,0.005837,0.018272,0.016122,0.01022,0.012494,0.009218,0.010075,0.012542,0.010788,0.006707,0.010339,0.011255,0.009894,0,1,0.32,0,0
33,'2021/06/23 01:28:34:584',1,0,0,0.003675,0.020986,0.011819,0.008167,0.005092,0.003685,0.008764,0.007992,0.01148,0.006924,0.007726,0.015873,0.012922,0.012155,0.011725,0.010018,0.010525,0.008297,0.009051,0.009453,0.012149,0.012954,0.010948,0,1,0.32,0,0
34,'2021/06/23 01:28:34:619',1,0,0,0.006203,0.023945,0.004947,0.011421,0.008433,0.009984,0.00987,0.004357,0.007781,0.007753,0.009514,0.01814,0.01069,0.010634,0.009462,0.008382,0.01087,0.010683,0.009165,0.009433,0.007762,0.008848,0.008322,0,1,0.32,0,0
35,'2021/06/23 01:28:34:654',1,0,0,0.005769,0.028057,0.01595,0.006377,0.00497,0.012683,0.010818,0.004142,0.006468,0.005753,0.009983,0.018772,0.011984,0.009622,0.006712,0.010526,0.011513,0.010918,0.00904,0.01122,0.006556,0.009525,0.009755,0,1,0.32,0,0
36,'2021/06/23 01:28:34:689',1,0,0,0.004314,0.023898,0.010347,0.008929,0.002782,0.006022,0.011085,0.006195,0.00793,0.009665,0.011945,0.017314,0.011139,0.008807,0.010889,0.01437,0.008294,0.013592,0.012825,0.00974,0.008954,0.010154,0.010289,0,1,0.32,0,0
37,'2021/06/23 01:28:34:724',1,0,0,0.00362,0.026146,0.015658,0.00442,0.018105,0.06583,0.038367,0.025935,0.016467,0.018781,0.032118,0.028911,0.014988,0.015721,0.017291,0.03736,0.025467,0.040052,0.030014,0.022775,0.019371,0.013497,0.014383,0,1,0.32,0,0
38,'2021/06/23 01:28:34:764',1,0,0,0.00783,0.032338,0.019846,0.011333,0.02488,0.077693,0.049958,0.026404,0.013322,0.017341,0.020554,0.033646,0.015788,0.016494,0.024839,0.019733,0.025693,0.021375,0.022196,0.016749,0.017274,0.012968,0.009618,0,1,0.32,0,0
39,'2021/06/23 01:28:34:802',1,0,0,0.00783,0.032338,0.019846,0.011333,0.02488,0.077693,0.049958,0.026404,0.013322,0.017341,0.020554,0.033646,0.015788,0.016494,0.024839,0.019733,0.025693,0.021375,0.022196,0.016749,0.017274,0.012968,0.009618,0,1,0.32,0,0
40,'2021/06/23 01:28:34:836',1,0,0,0.005778,0.026487,0.012928,0.004829,0.019564,0.036806,0.022509,0.012184,0.012212,0.012841,0.010148,0.018276,0.01144,0.009236,0.014545,0.016377,0.009044,0.011348,0.011974,0.013893,0.013747,0.011689,0.011028,0,1,0.32,0,0
41,'2021/06/23 01:28:34:871',1,0,0,0.005601,0.030727,0.019165,0.007763,0.008515,0.03979,0.022389,0.009147,0.006939,0.008419,0.013168,0.019496,0.016769,0.009167,0.012377,0.013899,0.00967,0.011243,0.015413,0.01243,0.01216,0.010089,0.010888,0,1,0.32,0,0
42,'2021/06/23 01:28:34:908',1,0,0,0.003368,0.022172,0.014883,0.00778,0.01339,0.026012,0.013878,0.005588,0.010779,0.009659,0.010162,0.019984,0.010836,0.01273,0.010986,0.011968,0.008906,0.012848,0.014014,0.011915,0.010944,0.012278,0.010182,0,1,0.32,0,0
43,'2021/06/23 01:28:34:941',1,0,0,0.003954,0.020873,0.009077,0.004897,0.006783,0.026782,0.012117,0.004026,0.007001,0.008453,0.00665,0.017357,0.013566,0.010266,0.01094,0.013343,0.007785,0.010398,0.011343,0.012813,0.009232,0.009606,0.007383,0,1,0.32,0,0
44,'2021/06/23 01:28:34:977',1,0,0,0.004633,0.020424,0.01082,0.005105,0.006155,0.015613,0.007811,0.00373,0.005914,0.005841,0.011963,0.013273,0.009881,0.010467,0.012056,0.012289,0.013672,0.012436,0.009876,0.011082,0.010256,0.008873,0.01004,0,1,0.32,0,0
45,'2021/06/23 01:28:35:007',1,0,0,0.006712,0.020025,0.005397,0.006615,0.007773,0.008545,0.010127,0.005514,0.007359,0.010125,0.010959,0.020218,0.010066,0.006012,0.014558,0.011211,0.008595,0.010677,0.009863,0.007478,0.009439,0.008599,0.011356,0,1,0.32,0,0
46,'2021/06/23 01:28:35:038',1,0,0,0.005097,0.020753,0.010602,0.004943,0.008252,0.006283,0.003759,0.002509,0.004923,0.007244,0.010496,0.023808,0.01317,0.012266,0.008726,0.014138,0.01159,0.011339,0.014139,0.014531,0.013535,0.014428,0.012126,0,1,0.32,0,0
47,'2021/06/23 01:28:35:070',1,0,0,0.006122,0.021075,0.006816,0.001961,0.0048,0.005732,0.003879,0.002709,0.004769,0.008426,0.016598,0.023975,0.014454,0.012255,0.007931,0.013472,0.01426,0.012538,0.011718,0.013432,0.013842,0.010538,0.010893,0,1,0.32,0,0
48,'2021/06/23 01:28:35:103',1,0,0,0.006749,0.024041,0.007803,0.002931,0.002401,0.012282,0.015233,0.006125,0.005211,0.008951,0.018295,0.017939,0.013217,0.008259,0.012624,0.012487,0.015655,0.014464,0.014862,0.013002,0.013066,0.011855,0.01019,0,1,0.32,0,0
49,'2021/06/23 01:28:35:139',1,0,0,0.004826,0.022312,0.016045,0.006342,0.036259,0.027906,0.05119,0.012848,0.008959,0.014124,0.032032,0.027421,0.02138,0.018174,0.030345,0.030839,0.022745,0.017209,0.01479,0.017698,0.013038,0.015689,0.013467,0,1,0.32,0,0
50,'2021/06/23 01:28:35:172',1,0,0,0.007866,0.025008,0.012811,0.013048,0.038827,0.022508,0.020575,0.005058,0.004583,0.011114,0.010016,0.015093,0.013386,0.016474,0.01791,0.016215,0.028789,0.030071,0.016811,0.019386,0.017572,0.015543,0.012013,0,1,0.32,0,0
51,'2021/06/23 01:28:35:205',1,0,0,0.006987,0.02269,0.008235,0.009235,0.016801,0.01185,0.011434,0.005816,0.008116,0.012023,0.007312,0.01446,0.014473,0.011147,0.014031,0.015078,0.010276,0.010985,0.012761,0.010895,0.010378,0.01376,0.013099,0,1,0.32,0,0
52,'2021/06/23 01:28:35:239',1,0,0,0.004197,0.019019,0.006906,0.004174,0.014558,0.012942,0.009678,0.003255,0.004177,0.006166,0.011249,0.011885,0.013708,0.009712,0.014445,0.009726,0.015259,0.012109,0.010043,0.011241,0.011642,0.015394,0.010339,0,1,0.32,0,0
53,'2021/06/23 01:28:35:282',1,0,0,0.00224,0.026392,0.0167,0.015118,0.008724,0.017697,0.006733,0.004124,0.013465,0.013695,0.010586,0.016348,0.013487,0.009447,0.015467,0.014226,0.013778,0.013708,0.012517,0.010206,0.011721,0.011549,0.011182,0,1,0.32,0,0
54,'2021/06/23 01:28:35:306',1,0,0,0.007462,0.028247,0.011159,0.020819,0.00966,0.025334,0.034212,0.007882,0.012082,0.007153,0.012814,0.018014,0.013691,0.011722,0.01619,0.011212,0.009114,0.012686,0.008989,0.009218,0.008547,0.011514,0.007606,0,1,0.32,0,0
55,'2021/06/23 01:28:35:339',1,0,0,0.000983,0.019688,0.027305,0.020718,0.015791,0.017114,0.015938,0.0057,0.007368,0.00764,0.010687,0.021518,0.011086,0.012993,0.010258,0.016612,0.014058,0.01359,0.011153,0.010158,0.010508,0.009809,0.009946,0,1,0.32,0,0
56,'2021/06/23 01:28:35:373',1,0,0,0.003474,0.024022,0.028693,0.018273,0.010619,0.015714,0.016613,0.0085,0.013858,0.007087,0.007983,0.016597,0.008681,0.015882,0.006087,0.009066,0.008438,0.010037,0.011552,0.013242,0.009401,0.011047,0.011912,0,1,0.32,0,0
